user_id,name,email,department,role,employment_type,privilege_level,critical_asset_access,hire_date,attempts,opens,clicks,reports,creds_submitted,click_rate,report_rate,creds_any,events,downloads_gb,after_hours_events,anom_geo_events,escalate_events,delete_events,after_hours_rate,anom_geo_rate,violations,viol_low,viol_med,viol_high,viol_repeat_sum,viol_high_any
USR0001,Allison Hill,donaldgarcia@mcclain.com,Finance,Contractor,contractor,normal,0,2021-04-22,3,0,0,0,0,0.0,0.0,0,10,8.77,4,0,0,1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0002,Lance Hoffman,lrobinson@pacheco-smith.com,HR,Manager,employee,elevated,0,2024-04-30,2,1,0,0,0,0.0,0.0,0,12,13.47,7,0,1,0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0003,Christopher Bernard,curtis61@abbott-munoz.com,Finance,HR Specialist,employee,normal,1,2024-06-27,2,0,0,0,0,0.0,0.0,0,10,7.26,4,2,0,1,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0
USR0004,Valerie Gray,maria95@lee.com,HR,Analyst,employee,normal,0,2025-10-06,3,0,0,0,0,0.0,0.0,0,21,17.9,8,0,1,0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0005,Sharon James,xreid@wood.com,HR,HR Specialist,employee,elevated,0,2024-05-07,4,0,0,0,0,0.0,0.0,0,24,39.7,11,0,0,1,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0006,Andrea Reid,frankgray@watts.com,HR,Finance Officer,employee,normal,0,2021-12-25,2,2,0,0,0,0.0,0.0,0,22,26.27,14,1,0,0,0.6363636363636364,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0
USR0007,Ethan Adams,robinbradley@edwards.info,HR,Analyst,employee,normal,0,2021-07-21,3,0,0,0,0,0.0,0.0,0,21,26.52,10,0,1,0,0.47619047619047616,0.0,3.0,2.0,1.0,0.0,6.0,0.0
USR0008,Patrick Ryan,zhurst@robinson-bright.net,HR,Manager,employee,admin,0,2023-04-22,2,0,0,0,0,0.0,0.0,0,19,18.93,10,0,2,0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0009,Shannon Hernandez,laurahenderson@cruz.info,Marketing,Analyst,employee,normal,0,2023-06-26,4,1,0,0,0,0.0,0.0,0,25,23.94,12,0,1,0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0010,Shannon Smith,maldonadoamanda@mack-peterson.com,Engineering,HR Specialist,employee,elevated,0,2023-01-05,4,0,0,0,0,0.0,0.0,0,18,20.35,2,0,1,1,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0011,Troy Liu,teresa28@harrell.net,Finance,HR Specialist,employee,admin,0,2023-11-19,4,0,0,0,0,0.0,0.0,0,19,30.6,8,0,1,0,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0012,Phillip Ryan,georgetracy@hickman.com,Engineering,HR Specialist,employee,elevated,0,2021-02-15,2,2,0,1,0,0.0,0.5,0,12,8.33,7,0,1,0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0013,Theresa Miller,wcabrera@cannon.net,Operations,Engineer,employee,normal,1,2021-08-30,2,0,0,0,0,0.0,0.0,0,13,11.67,6,1,0,1,0.46153846153846156,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
USR0014,Lisa Brandt,jenniferross@santos.com,HR,Contractor,contractor,elevated,0,2022-01-28,4,2,0,2,0,0.0,0.5,0,19,30.869999999999997,8,1,2,0,0.42105263157894735,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
USR0015,Alex Spencer,adrianzimmerman@perez.com,Finance,Manager,employee,normal,0,2021-03-11,4,1,0,0,0,0.0,0.0,0,21,31.46,9,0,1,0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0016,Michael Lewis,jenniferkhan@kennedy.com,HR,Engineer,employee,normal,0,2021-04-23,4,0,0,0,0,0.0,0.0,0,15,17.36,7,0,0,0,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0017,Heather Jenkins,nuneztracey@brown.com,Finance,Engineer,employee,normal,0,2024-11-03,4,0,0,0,0,0.0,0.0,0,21,20.33,10,0,2,1,0.47619047619047616,0.0,1.0,0.0,1.0,0.0,3.0,0.0
USR0018,Corey Herrera,robertramirez@baxter.info,HR,Contractor,contractor,normal,0,2024-11-17,3,2,0,0,0,0.0,0.0,0,9,12.030000000000001,5,0,1,1,0.5555555555555556,0.0,1.0,1.0,0.0,0.0,2.0,0.0
USR0019,Annette Pearson,novaksara@martin.info,Operations,Contractor,contractor,normal,0,2021-11-27,2,2,0,0,0,0.0,0.0,0,17,10.2,9,0,1,0,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0020,Anthony Gray,ybaker@mitchell-horton.net,HR,Analyst,employee,elevated,0,2024-02-24,3,0,0,0,0,0.0,0.0,0,15,13.23,7,0,0,1,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR0021,Mr. Daniel Brown,adkinsbrian@woods.com,Engineering,Finance Officer,employee,normal,0,2025-08-23,4,1,0,0,0,0.0,0.0,0,10,14.51,5,1,1,0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0
